hemma,borta,hemmamal,bortamal,publik,domare,datum,sasong
Kalmar,Norrköping,0,2,4 056,Guldfågeln Arena,2012-10-31,2012
Djurgården,Syrianska,1,1,5 637,Stadion,2012-10-31,2012
Mjällby,Elfsborg,2,3,3 762,Strandvallen,2012-11-01,2012
Gais,Gefle,2,3,1 543,Gamla Ullevi,2012-11-01,2012
Åtvidaberg,Sundsvall,2,2,2 567,Kopparvallen,2012-11-01,2012
Häcken,AIK,1,1,5 753,Rambergsvallen,2012-11-01,2012
Malmö,Örebro,1,1,17 935,Martin Hansson,2012-11-01,2012
AIK,Malmö,2,0,28 057,Råsunda,2012-11-04,2012
Göteborg,Djurgården,1,0,6 017,Tobias Mattsson,2012-11-04,2012
Syrianska,Kalmar,3,0,3 109,Markus Strömbergsson,2012-11-04,2012
Norrköping,Mjällby,2,1,4 899,NA,2012-11-04,2012
Elfsborg,Åtvidaberg,1,1,16 167,Borås arena,2012-11-04,2012
Gefle,Helsingborg,2,2,1 873,NA,2012-11-04,2012
Sundsvall,Häcken,1,2,2 689,NA,2012-11-04,2012
Örebro,Gais,4,0,2 515,Mohammed Al-Hakim,2012-11-04,2012
Häcken,Göteborg,0,3,15 593,Rambergsvallen,2013-03-31,2013
Syrianska,Kalmar,0,3,3 852,Tobias Mattsson,2013-03-31,2013
Helsingborg,Djurgården,3,0,11 201,Olympia,2013-03-31,2013
Gefle,Åtvidaberg,1,0,3 544,Martin Hansson,2013-04-01,2013
Malmö,Halmstad,1,1,19 577,Martin Strömbergsson,2013-04-01,2013
Mjällby,Norrköping,1,2,3 015,Andreas Ekberg,2013-04-01,2013
Elfsborg,AIK,2,2,15 861,Borås arena,2013-04-01,2013
Brommapojkarna,Öster,2,2,1 713,Grimsta IP,2013-04-01,2013
Åtvidaberg,Malmö,1,3,3 501,Kopparvallen,2013-04-05,2013
Göteborg,Brommapojkarna,2,0,11 782,Gamla Ullevi,2013-04-07,2013
AIK,Syrianska,0,0,43 466,"Nationalarenan, Friends Arena",2013-04-07,2013
Halmstad,Elfsborg,1,1,7 659,Örjans Vall,2013-04-07,2013
Kalmar,Häcken,0,0,4 248,Guldfågeln Arena,2013-04-07,2013
Djurgården,Mjällby,0,3,10 087,Stockholms Stadion 1,2013-04-08,2013
Norrköping,Gefle,2,1,4 855,Nya Parken,2013-04-08,2013
Öster,Helsingborg,1,1,7 107,Myresjöhus Arena,2013-04-08,2013
Brommapojkarna,Norrköping,1,0,1 698,Grimsta IP,2013-04-12,2013
Syrianska,Öster,0,1,2 158,Södertälje Fotbollsarena,2013-04-13,2013
Åtvidaberg,AIK,1,0,4 941,Kopparvallen,2013-04-14,2013
Malmö,Kalmar,1,0,12 736,Stadion,2013-04-14,2013
Gefle,Halmstad,2,0,2 666,Strömvallen,2013-04-14,2013
Häcken,Djurgården,4,0,3 064,Rambergsvallen,2013-04-14,2013
Helsingborg,Mjällby,1,2,6 844,"Olympia, Helsingborg",2013-04-15,2013
Elfsborg,Göteborg,0,0,15 995,Borås Arena,2013-04-15,2013
Halmstad,Åtvidaberg,0,0,3 846,Örjans Vall,2013-04-17,2013
Öster,Häcken,2,0,3 903,Myresjöhus Arena,2013-04-17,2013
AIK,Malmö,0,1,19 640,"Nationalarenan, Friends Arena",2013-04-17,2013
Göteborg,Syrianska,2,0,7 677,Gamla Ullevi,2013-04-18,2013
Mjällby,Gefle,1,0,2 412,Strandvallen,2013-04-18,2013
Kalmar,Elfsborg,1,1,5 207,Guldfågeln Arena,2013-04-18,2013
Djurgården,Brommapojkarna,1,1,6 798,Stockholms Stadion 1,2013-04-18,2013
Norrköping,Helsingborg,1,4,5 223,Nya Parken,2013-04-18,2013
Halmstad,Kalmar,1,2,4 011,Örjans Vall,2013-04-21,2013
Åtvidaberg,Göteborg,1,2,5 105,Kopparvallen,2013-04-21,2013
Brommapojkarna,Helsingborg,0,2,2 083,Grimsta IP,2013-04-21,2013
Häcken,Mjällby,2,0,2 440,Rambergsvallen,2013-04-21,2013
Gefle,AIK,1,2,4 589,Strömvallen,2013-04-22,2013
Malmö,Öster,2,0,12 216,Stadion,2013-04-22,2013
Syrianska,Norrköping,3,1,2 561,Södertälje Fotbollsarena,2013-04-22,2013
Elfsborg,Djurgården,2,0,9 476,Borås Arena,2013-04-22,2013
Göteborg,Malmö,1,1,17 063,Gamla Ullevi,2013-04-25,2013
Norrköping,Häcken,4,2,3 884,Nya Parken,2013-04-26,2013
Helsingborg,Gefle,5,1,10 010,"Olympia, Helsingborg",2013-04-27,2013
Kalmar,Åtvidaberg,0,0,5 289,Guldfågeln Arena,2013-04-27,2013
Djurgården,Syrianska,0,1,7 383,Stockholms Stadion 1,2013-04-27,2013
Mjällby,Brommapojkarna,4,2,2 468,Strandvallen,2013-04-28,2013
AIK,Halmstad,3,3,16 711,"Nationalarenan, Friends Arena",2013-04-28,2013
Öster,Elfsborg,1,3,6 129,Myresjöhus Arena,2013-04-28,2013
Malmö,Norrköping,1,1,13 155,Stadion,2013-05-03,2013
Åtvidaberg,Djurgården,5,1,6 152,Kopparvallen,2013-05-04,2013
Elfsborg,Mjällby,2,1,8 047,Borås Arena,2013-05-05,2013
Halmstad,Öster,1,0,4 494,Örjans Vall,2013-05-05,2013
Syrianska,Helsingborg,0,1,2 572,Södertälje Fotbollsarena,2013-05-05,2013
Häcken,Brommapojkarna,1,0,2 642,Rambergsvallen,2013-05-06,2013
Gefle,Kalmar,1,1,3 542,Strömvallen,2013-05-06,2013
AIK,Göteborg,3,1,24 211,"Nationalarenan, Friends Arena",2013-05-06,2013
Norrköping,Elfsborg,1,2,8 032,Nya Parken,2013-05-10,2013
Göteborg,Halmstad,1,0,12 457,Gamla Ullevi,2013-05-11,2013
Mjällby,Syrianska,4,1,2 912,Strandvallen,2013-05-12,2013
Kalmar,AIK,2,1,6 976,Guldfågeln Arena,2013-05-12,2013
Djurgården,Malmö,3,2,7 492,Stockholms Stadion 1,2013-05-12,2013
Brommapojkarna,Gefle,4,1,1 434,Grimsta IP,2013-05-13,2013
Öster,Åtvidaberg,0,1,4 142,Myresjöhus Arena,2013-05-13,2013
Helsingborg,Häcken,5,0,8 483,"Olympia, Helsingborg",2013-05-13,2013
Mjällby,Malmö,2,2,6 305,Strandvallen,2013-05-17,2013
Brommapojkarna,Syrianska,1,1,1 473,Grimsta IP,2013-05-18,2013
Häcken,Gefle,2,2,1 817,Rambergsvallen,2013-05-19,2013
Öster,AIK,2,3,4 792,Myresjöhus Arena,2013-05-19,2013
Norrköping,Åtvidaberg,2,1,10 870,Nya Parken,2013-05-19,2013
Göteborg,Kalmar,2,0,10 045,Gamla Ullevi,2013-05-19,2013
Djurgården,Halmstad,1,0,7 021,Stockholms Stadion 1,2013-05-19,2013
Helsingborg,Elfsborg,2,1,10 341,"Olympia, Helsingborg",2013-05-20,2013
Gefle,Göteborg,1,1,4 067,Strömvallen,2013-05-22,2013
AIK,Djurgården,1,1,35 311,"Nationalarenan, Friends Arena",2013-05-22,2013
Syrianska,Häcken,0,3,2 392,Södertälje Fotbollsarena,2013-05-23,2013
Åtvidaberg,Mjällby,3,0,3 159,Kopparvallen,2013-05-23,2013
Halmstad,Norrköping,1,1,3 180,Örjans Vall,2013-05-23,2013
Elfsborg,Brommapojkarna,6,0,7 661,Borås Arena,2013-05-23,2013
Kalmar,Öster,3,1,11 067,Guldfågeln Arena,2013-05-23,2013
Syrianska,Gefle,2,2,2 572,Södertälje Fotbollsarena,2013-05-28,2013
Malmö,Helsingborg,1,1,23 730,Stadion,2013-05-29,2013
Djurgården,Kalmar,1,0,7 208,Stockholms Stadion 1,2013-05-30,2013
Norrköping,AIK,0,1,8 875,Nya Parken,2013-05-30,2013
Öster,Göteborg,2,0,7 100,Myresjöhus Arena,2013-05-31,2013
Brommapojkarna,Malmö,1,3,2 076,Grimsta IP,2013-06-01,2013
Häcken,Elfsborg,0,1,5 077,Rambergsvallen,2013-06-01,2013
Helsingborg,Åtvidaberg,3,0,11 106,"Olympia, Helsingborg",2013-06-01,2013
Mjällby,Halmstad,5,1,3 276,Strandvallen,2013-06-01,2013
Gefle,Öster,0,0,4 210,Strömvallen,2013-06-15,2013
Kalmar,Norrköping,2,2,5 235,Guldfågeln Arena,2013-06-17,2013
Göteborg,Djurgården,0,0,11 304,Gamla Ullevi,2013-06-17,2013
Häcken,Åtvidaberg,0,2,2 434,Rambergsvallen,2013-06-19,2013
Brommapojkarna,Halmstad,1,1,1 414,Grimsta IP,2013-06-19,2013
Elfsborg,Gefle,0,0,8 300,Borås Arena,2013-06-19,2013
Syrianska,Malmö,2,3,2 101,Södertälje Fotbollsarena,2013-06-20,2013
Mjällby,Kalmar,0,2,4 302,Strandvallen,2013-06-20,2013
Norrköping,Göteborg,1,2,7 790,Nya Parken,2013-06-20,2013
Åtvidaberg,Syrianska,1,0,3 520,Kopparvallen,2013-06-23,2013
Halmstad,Häcken,0,2,3 051,Örjans Vall,2013-06-23,2013
Kalmar,Helsingborg,1,1,6 682,Guldfågeln Arena,2013-06-23,2013
Göteborg,Mjällby,4,2,8 594,Gamla Ullevi,2013-06-24,2013
AIK,Brommapojkarna,4,0,13 983,"Nationalarenan, Friends Arena",2013-06-24,2013
Gefle,Djurgården,1,1,5 316,Strömvallen,2013-06-24,2013
Öster,Norrköping,0,2,4 766,Myresjöhus Arena,2013-06-24,2013
Malmö,Elfsborg,2,1,13 821,Stadion,2013-06-24,2013
Malmö,Häcken,1,3,11 861,Stadion,2013-06-27,2013
Helsingborg,AIK,1,2,11 535,"Olympia, Helsingborg",2013-06-27,2013
Elfsborg,Syrianska,5,1,7 001,Borås Arena,2013-06-30,2013
Djurgården,Öster,2,0,14 276,Stockholms Stadion 1,2013-06-30,2013
Åtvidaberg,Brommapojkarna,4,1,4 063,Kopparvallen,2013-07-01,2013
AIK,Mjällby,0,0,13 870,"Nationalarenan, Friends Arena",2013-07-01,2013
Elfsborg,Åtvidaberg,0,1,7 653,Borås Arena,2013-07-06,2013
Brommapojkarna,Kalmar,0,1,1 204,Grimsta IP,2013-07-06,2013
Mjällby,Öster,1,1,5 025,Strandvallen,2013-07-06,2013
Malmö,Gefle,3,1,9 837,Stadion,2013-07-07,2013
Syrianska,Halmstad,1,2,1 932,Södertälje Fotbollsarena,2013-07-07,2013
AIK,Häcken,2,0,11 753,"Nationalarenan, Friends Arena",2013-07-07,2013
Helsingborg,Göteborg,1,1,14 413,"Olympia, Helsingborg",2013-07-08,2013
Elfsborg,Halmstad,2,2,7 035,Borås Arena,2013-07-13,2013
Häcken,Kalmar,0,1,2 386,Rambergsvallen,2013-07-13,2013
Brommapojkarna,Göteborg,2,1,1 771,Grimsta IP,2013-07-13,2013
Gefle,Norrköping,2,2,3 778,Strömvallen,2013-07-14,2013
Mjällby,Djurgården,2,0,5 611,Strandvallen,2013-07-14,2013
Malmö,Åtvidaberg,4,0,10 877,Stadion,2013-07-14,2013
Syrianska,AIK,1,2,5 292,Södertälje Fotbollsarena,2013-07-14,2013
Helsingborg,Öster,3,0,9 572,"Olympia, Helsingborg",2013-07-15,2013
Djurgården,Norrköping,1,2,27 798,Tele 2 Arena,2013-07-21,2013
Häcken,AIK,2,3,4 531,Rambergsvallen,2013-07-22,2013
Halmstad,Helsingborg,0,1,8 834,Örjans Vall,2013-07-24,2013
Åtvidaberg,Elfsborg,1,1,4 844,Kopparvallen,2013-07-27,2013
Kalmar,Brommapojkarna,2,2,4 786,Guldfågeln Arena,2013-07-27,2013
Öster,Mjällby,1,1,4 622,Myresjöhus Arena,2013-07-27,2013
Göteborg,Helsingborg,2,4,14 712,Gamla Ullevi,2013-07-28,2013
Gefle,Malmö,2,0,5 169,Strömvallen,2013-07-28,2013
Halmstad,Syrianska,1,1,3 971,Örjans Vall,2013-07-29,2013
Kalmar,Syrianska,1,0,4 037,Guldfågeln Arena,2013-08-03,2013
Öster,Brommapojkarna,0,0,4 293,Myresjöhus Arena,2013-08-03,2013
AIK,Elfsborg,2,1,21 882,"Nationalarenan, Friends Arena",2013-08-03,2013
Åtvidaberg,Gefle,1,1,3 450,Kopparvallen,2013-08-04,2013
Halmstad,Malmö,1,3,6 433,Örjans Vall,2013-08-04,2013
Göteborg,Häcken,3,1,11 118,Gamla Ullevi,2013-08-04,2013
Norrköping,Mjällby,3,2,5 718,Nya Parken,2013-08-05,2013
Djurgården,Helsingborg,2,1,13 251,Tele 2 Arena,2013-08-05,2013
Åtvidaberg,Halmstad,0,1,3 324,Kopparvallen,2013-08-10,2013
Elfsborg,Kalmar,1,0,6 863,Borås Arena,2013-08-10,2013
Brommapojkarna,Djurgården,3,0,7 822,Tele 2 Arena,2013-08-10,2013
Gefle,Mjällby,2,1,3 135,Strömvallen,2013-08-11,2013
Syrianska,Göteborg,0,2,2 301,Södertälje Fotbollsarena,2013-08-11,2013
Helsingborg,Norrköping,0,0,9 157,"Olympia, Helsingborg",2013-08-11,2013
Malmö,AIK,1,0,17 518,Stadion,2013-08-11,2013
Häcken,Öster,0,2,2 073,Rambergsvallen,2013-08-11,2013
Öster,Syrianska,1,0,4 578,Myresjöhus Arena,2013-08-16,2013
Göteborg,Elfsborg,3,1,16 027,Gamla Ullevi,2013-08-17,2013
Norrköping,Brommapojkarna,2,1,5 479,Nya Parken,2013-08-17,2013
Halmstad,Gefle,2,2,2 541,Örjans Vall,2013-08-18,2013
Djurgården,Häcken,1,1,10 548,Tele 2 Arena,2013-08-18,2013
Kalmar,Malmö,1,4,6 834,Guldfågeln Arena,2013-08-18,2013
AIK,Åtvidaberg,3,2,13 580,"Nationalarenan, Friends Arena",2013-08-19,2013
Mjällby,Helsingborg,4,3,5 037,Strandvallen,2013-08-19,2013
Norrköping,Djurgården,2,3,7 822,Nya Parken,2013-08-22,2013
Gefle,Helsingborg,1,2,5 223,Strömvallen,2013-08-25,2013
Elfsborg,Öster,2,4,6 209,Borås Arena,2013-08-25,2013
Halmstad,AIK,1,0,6 253,Örjans Vall,2013-08-25,2013
Malmö,Göteborg,3,1,23 142,Stadion,2013-08-25,2013
Brommapojkarna,Mjällby,2,0,1 386,Grimsta IP,2013-08-26,2013
Åtvidaberg,Kalmar,0,0,3 837,Kopparvallen,2013-08-26,2013
Häcken,Norrköping,1,0,2 725,Rambergsvallen,2013-08-26,2013
Syrianska,Djurgården,1,3,4 309,Södertälje Fotbollsarena,2013-08-26,2013
Helsingborg,Brommapojkarna,4,2,7 911,"Olympia, Helsingborg",2013-08-30,2013
AIK,Gefle,3,0,12 587,"Nationalarenan, Friends Arena",2013-08-31,2013
Göteborg,Åtvidaberg,3,0,7 131,Gamla Ullevi,2013-09-01,2013
Öster,Malmö,1,1,9 103,Myresjöhus Arena,2013-09-01,2013
Norrköping,Syrianska,6,1,3 912,Nya Parken,2013-09-01,2013
Mjällby,Häcken,1,1,3 229,Strandvallen,2013-09-01,2013
Kalmar,Halmstad,1,0,3 904,Guldfågeln Arena,2013-09-01,2013
Djurgården,Elfsborg,1,2,11 379,Tele 2 Arena,2013-09-01,2013
Gefle,Brommapojkarna,1,0,2 879,Strömvallen,2013-09-14,2013
Åtvidaberg,Öster,4,0,4 202,Kopparvallen,2013-09-14,2013
AIK,Kalmar,0,0,15 197,"Nationalarenan, Friends Arena",2013-09-15,2013
Halmstad,Göteborg,0,1,6 540,Örjans Vall,2013-09-15,2013
Elfsborg,Norrköping,4,1,7 521,Borås Arena,2013-09-15,2013
Häcken,Helsingborg,3,2,3 077,Rambergsvallen,2013-09-15,2013
Syrianska,Mjällby,1,2,1 135,Södertälje Fotbollsarena,2013-09-15,2013
Malmö,Djurgården,0,2,15 751,Stadion,2013-09-16,2013
Öster,Halmstad,0,1,5 026,Myresjöhus Arena,2013-09-20,2013
Kalmar,Gefle,0,0,3 988,Guldfågeln Arena,2013-09-21,2013
Brommapojkarna,Häcken,1,0,1 013,Grimsta IP,2013-09-22,2013
Mjällby,Elfsborg,2,2,4 004,Strandvallen,2013-09-22,2013
Helsingborg,Syrianska,2,2,9 546,"Olympia, Helsingborg",2013-09-22,2013
Djurgården,Åtvidaberg,2,0,10 079,Tele 2 Arena,2013-09-22,2013
Norrköping,Malmö,0,2,6 374,Nya Parken,2013-09-22,2013
Göteborg,AIK,3,1,16 206,Gamla Ullevi,2013-09-23,2013
Öster,Kalmar,1,2,11 133,Myresjöhus Arena,2013-09-24,2013
Häcken,Syrianska,4,0,2 876,Rambergsvallen,2013-09-25,2013
Brommapojkarna,Elfsborg,1,0,966,Grimsta IP,2013-09-25,2013
Helsingborg,Malmö,0,3,16 300,"Olympia, Helsingborg",2013-09-25,2013
Mjällby,Åtvidaberg,0,1,2 871,Strandvallen,2013-09-26,2013
Göteborg,Gefle,3,1,10 489,Gamla Ullevi,2013-09-26,2013
Norrköping,Halmstad,3,2,4 021,Nya Parken,2013-09-26,2013
Djurgården,AIK,2,2,27 112,Tele 2 Arena,2013-09-26,2013
Syrianska,Brommapojkarna,1,2,1 201,Södertälje Fotbollsarena,2013-09-28,2013
Kalmar,Göteborg,2,1,6 836,Guldfågeln Arena,2013-09-29,2013
Halmstad,Djurgården,1,4,3 183,Örjans Vall,2013-09-29,2013
Elfsborg,Helsingborg,1,1,9 135,Borås Arena,2013-09-29,2013
Malmö,Mjällby,1,0,15 560,Stadion,2013-09-30,2013
Gefle,Häcken,0,0,3 067,Strömvallen,2013-09-30,2013
AIK,Öster,2,1,9 388,"Nationalarenan, Friends Arena",2013-09-30,2013
Åtvidaberg,Norrköping,1,3,7 628,Kopparvallen,2013-09-30,2013
Mjällby,AIK,2,3,3 180,Strandvallen,2013-10-04,2013
Norrköping,Kalmar,0,1,8 012,Nya Parken,2013-10-05,2013
Brommapojkarna,Åtvidaberg,0,0,1 689,Grimsta IP,2013-10-05,2013
Syrianska,Elfsborg,1,3,513,Södertälje Fotbollsarena,2013-10-06,2013
Öster,Gefle,1,4,5 812,Myresjöhus Arena,2013-10-06,2013
Djurgården,Göteborg,2,1,11 815,Tele 2 Arena,2013-10-06,2013
Häcken,Malmö,2,0,5 814,Rambergsvallen,2013-10-06,2013
Helsingborg,Halmstad,4,2,10 056,"Olympia, Helsingborg",2013-10-06,2013
Gefle,Syrianska,2,0,2 849,Strömvallen,2013-10-19,2013
Göteborg,Öster,0,0,9 107,Gamla Ullevi,2013-10-20,2013
Åtvidaberg,Helsingborg,3,0,3 466,Kopparvallen,2013-10-20,2013
Elfsborg,Häcken,0,0,7 362,Borås Arena,2013-10-20,2013
Malmö,Brommapojkarna,2,1,17 856,Stadion,2013-10-20,2013
Kalmar,Djurgården,1,2,4 011,Guldfågeln Arena,2013-10-21,2013
AIK,Norrköping,1,0,11 850,"Nationalarenan, Friends Arena",2013-10-21,2013
Halmstad,Mjällby,1,0,2 820,Örjans Vall,2013-10-21,2013
Häcken,Halmstad,1,3,5 027,Rambergsvallen,2013-10-25,2013
Brommapojkarna,AIK,0,6,9 826,Tele 2 Arena,2013-10-26,2013
Mjällby,Göteborg,2,1,4 038,Strandvallen,2013-10-27,2013
Djurgården,Gefle,1,1,14 885,Tele 2 Arena,2013-10-27,2013
Syrianska,Åtvidaberg,4,1,1 603,Södertälje Fotbollsarena,2013-10-27,2013
Helsingborg,Kalmar,2,3,7 782,"Olympia, Helsingborg",2013-10-27,2013
Norrköping,Öster,1,1,3 166,Nya Parken,2013-10-28,2013
Elfsborg,Malmö,0,2,12 039,Borås Arena,2013-10-28,2013
Göteborg,Norrköping,2,0,10 119,Gamla Ullevi,2013-11-03,2013
Malmö,Syrianska,3,1,23 758,Stadion,2013-11-03,2013
Åtvidaberg,Häcken,2,2,3 106,Kopparvallen,2013-11-03,2013
Halmstad,Brommapojkarna,2,2,6 157,Örjans Vall,2013-11-03,2013
AIK,Helsingborg,2,1,20 068,"Nationalarenan, Friends Arena",2013-11-03,2013
Gefle,Elfsborg,0,2,2 527,Strömvallen,2013-11-03,2013
Kalmar,Mjällby,2,1,7 463,Guldfågeln Arena,2013-11-03,2013
Öster,Djurgården,1,1,3 847,Myresjöhus Arena,2013-11-03,2013
Helsingborg,Djurgården,1,1,0,NA,2014-03-30,2014
Mjällby,Gefle,2,2,0,NA,2014-03-30,2014
Brommapojkarna,Kalmar,1,2,0,NA,2014-03-30,2014
Halmstad,Örebro,1,2,Varn,20',2014-03-30,2014
Malmö,Falkenberg,3,0,1,NA,2014-03-30,2014
Häcken,Norrköping,2,0,1,NA,2014-03-31,2014
Åtvidaberg,Elfsborg,2,1,1,NA,2014-03-31,2014
AIK,Göteborg,0,2,0,NA,2014-03-31,2014
Elfsborg,Häcken,3,1,1,NA,2014-04-04,2014
Falkenberg,Brommapojkarna,1,0,1,NA,2014-04-05,2014
Djurgården,Halmstad,3,0,1,NA,2014-04-06,2014
Norrköping,Helsingborg,2,0,1,NA,2014-04-06,2014
Gefle,AIK,1,2,1,NA,2014-04-06,2014
Kalmar,Åtvidaberg,2,2,0,NA,2014-04-07,2014
Göteborg,Malmö,0,3,0,NA,2014-04-07,2014
Örebro,Mjällby,1,0,1,NA,2014-04-08,2014
Mjällby,Djurgården,0,2,0,NA,2014-04-11,2014
Malmö,Gefle,1,0,Varn,63',2014-04-12,2014
Åtvidaberg,Falkenberg,2,0,Varn,85',2014-04-12,2014
AIK,Örebro,1,1,1,NA,2014-04-13,2014
Helsingborg,Häcken,4,2,1,NA,2014-04-13,2014
Halmstad,Norrköping,0,0,Varn,"Varningar,",2014-04-13,2014
Brommapojkarna,Göteborg,1,1,0,NA,2014-04-14,2014
Kalmar,Elfsborg,0,0,Kalmar:,Kalmar:,2014-04-14,2014
Häcken,Halmstad,3,0,1,NA,2014-04-16,2014
Norrköping,Mjällby,1,1,0,NA,2014-04-16,2014
Örebro,Malmö,1,2,0,NA,2014-04-16,2014
Djurgården,AIK,2,3,0,NA,2014-04-16,2014
Falkenberg,Kalmar,1,3,0,NA,2014-04-17,2014
Gefle,Brommapojkarna,3,0,1,NA,2014-04-17,2014
Göteborg,Åtvidaberg,5,0,1,NA,2014-04-17,2014
Elfsborg,Helsingborg,1,0,1,NA,2014-04-17,2014
Kalmar,Göteborg,1,1,1,NA,2014-04-20,2014
Halmstad,Helsingborg,2,1,1,NA,2014-04-20,2014
Mjällby,Häcken,1,4,0,NA,2014-04-20,2014
AIK,Norrköping,1,2,0,NA,2014-04-20,2014
Falkenberg,Elfsborg,2,3,0,NA,2014-04-21,2014
Åtvidaberg,Gefle,2,2,0,NA,2014-04-21,2014
Malmö,Djurgården,2,2,0,NA,2014-04-21,2014
Brommapojkarna,Örebro,2,2,0,NA,2014-04-21,2014
Göteborg,Falkenberg,1,0,1,NA,2014-04-25,2014
Örebro,Åtvidaberg,3,2,1,NA,2014-04-25,2014
Helsingborg,Mjällby,3,1,1,NA,2014-04-27,2014
Djurgården,Brommapojkarna,3,2,1,NA,2014-04-27,2014
Häcken,AIK,2,2,0,NA,2014-04-27,2014
Gefle,Kalmar,0,2,0,NA,2014-04-28,2014
Elfsborg,Halmstad,4,1,0,NA,2014-04-28,2014
Norrköping,Malmö,1,2,0,NA,2014-04-28,2014
Mjällby,Halmstad,2,1,Varn,36',2014-05-03,2014
Brommapojkarna,Norrköping,3,0,1,NA,2014-05-03,2014
Åtvidaberg,Djurgården,1,1,1,NA,2014-05-04,2014
Malmö,Häcken,1,2,0,NA,2014-05-04,2014
Kalmar,Örebro,2,0,1,NA,2014-05-04,2014
Göteborg,Elfsborg,0,0,Utv,"Varningar,",2014-05-04,2014
Falkenberg,Gefle,1,1,0,NA,2014-05-05,2014
AIK,Helsingborg,2,1,Utv,44',2014-05-05,2014
Djurgården,Kalmar,0,0,Utv,"Varningar,",2014-05-07,2014
Elfsborg,Mjällby,3,1,0,NA,2014-05-07,2014
Häcken,Brommapojkarna,3,1,1,NA,2014-05-07,2014
Norrköping,Åtvidaberg,2,1,0,NA,2014-05-07,2014
Gefle,Göteborg,1,1,1,NA,2014-05-08,2014
Örebro,Falkenberg,0,0,Falkenberg:,Örebro:,2014-05-08,2014
Halmstad,AIK,2,2,0,NA,2014-05-08,2014
Helsingborg,Malmö,0,1,0,NA,2014-05-08,2014
Kalmar,Norrköping,2,0,Varn,38',2014-05-10,2014
AIK,Mjällby,2,1,0,NA,2014-05-11,2014
Göteborg,Örebro,2,1,1,NA,2014-05-11,2014
Gefle,Elfsborg,0,1,0,NA,2014-05-11,2014
Åtvidaberg,Häcken,1,0,1,NA,2014-05-12,2014
Malmö,Halmstad,3,1,1,NA,2014-05-12,2014
Brommapojkarna,Helsingborg,0,1,Utv,65',2014-05-12,2014
Falkenberg,Djurgården,1,0,1,NA,2014-05-12,2014
Brommapojkarna,Mjällby,0,1,Varn,65',2014-05-15,2014
Norrköping,Falkenberg,0,3,0,NA,2014-05-15,2014
AIK,Elfsborg,2,1,1,NA,2014-05-15,2014
Örebro,Gefle,2,2,0,NA,2014-05-19,2014
Halmstad,Brommapojkarna,3,0,Varn,15',2014-05-19,2014
Häcken,Kalmar,4,1,1,NA,2014-05-20,2014
Helsingborg,Åtvidaberg,0,0,Åtvidaberg:,Helsingborg:,2014-05-21,2014
Djurgården,Göteborg,0,0,Göteborg:,Djurgården:,2014-05-21,2014
Mjällby,Malmö,0,1,0,NA,2014-05-22,2014
Falkenberg,Häcken,1,1,0,NA,2014-05-24,2014
Elfsborg,Örebro,1,0,1,NA,2014-05-24,2014
Åtvidaberg,Halmstad,1,0,1,NA,2014-05-24,2014
Kalmar,Helsingborg,2,0,1,NA,2014-05-25,2014
Göteborg,Norrköping,2,2,1,NA,2014-05-25,2014
Gefle,Djurgården,1,1,0,NA,2014-05-26,2014
Malmö,AIK,2,2,0,NA,2014-05-26,2014
Örebro,Djurgården,0,1,Varn,84',2014-05-30,2014
Halmstad,Kalmar,1,1,1,NA,2014-05-31,2014
Mjällby,Åtvidaberg,1,0,Utv,31',2014-05-31,2014
Helsingborg,Falkenberg,1,0,Varn,74',2014-06-01,2014
Elfsborg,Malmö,0,1,Varn,44',2014-06-01,2014
Norrköping,Gefle,1,0,1,NA,2014-06-02,2014
AIK,Brommapojkarna,4,2,0,NA,2014-06-02,2014
Häcken,Göteborg,1,1,0,NA,2014-06-02,2014
Gefle,Häcken,1,0,Varn,90',2014-07-05,2014
Falkenberg,Halmstad,1,1,Varn,32',2014-07-05,2014
Kalmar,Mjällby,2,1,1,NA,2014-07-05,2014
Örebro,Norrköping,2,2,1,NA,2014-07-06,2014
Göteborg,Helsingborg,6,2,0,NA,2014-07-06,2014
Brommapojkarna,Malmö,1,1,0,NA,2014-07-06,2014
Åtvidaberg,AIK,0,3,0,NA,2014-07-07,2014
Djurgården,Elfsborg,1,1,0,NA,2014-07-07,2014
AIK,Kalmar,3,0,1,NA,2014-07-12,2014
Mjällby,Falkenberg,1,1,Varn,7',2014-07-12,2014
Malmö,Åtvidaberg,3,0,1,NA,2014-07-12,2014
Helsingborg,Gefle,1,1,Varn,37',2014-07-13,2014
Halmstad,Göteborg,2,2,1,NA,2014-07-13,2014
Elfsborg,Brommapojkarna,2,2,Varn,26',2014-07-13,2014
Häcken,Örebro,4,1,0,NA,2014-07-13,2014
Norrköping,Djurgården,3,5,1,NA,2014-07-14,2014
Gefle,Halmstad,2,0,1,NA,2014-07-19,2014
Kalmar,Malmö,1,1,Varn,11',2014-07-19,2014
Göteborg,Mjällby,3,1,Varn,45',2014-07-20,2014
Falkenberg,AIK,4,1,1,NA,2014-07-20,2014
Örebro,Helsingborg,1,1,Varn,14',2014-07-20,2014
Norrköping,Elfsborg,4,2,1,NA,2014-07-20,2014
Åtvidaberg,Brommapojkarna,3,2,1,NA,2014-07-20,2014
Djurgården,Häcken,1,2,Varn,11',2014-07-21,2014
Malmö,Kalmar,3,1,0,NA,2014-07-26,2014
